,cl_id,halo_mass,z_cl,redshift,stellar_mass,g_mag,r_mag
0,169088,305000000000000.0,0.2356,0.2336,16749428760.264381,21.039,19.754
1,169088,305000000000000.0,0.2356,0.2345,98627948563.121,19.371,18.193
2,169088,305000000000000.0,0.2356,0.2436,84139514164.51965,19.84,18.479
3,169088,305000000000000.0,0.2356,0.2347,19998618696.32745,20.257,19.41
4,169088,305000000000000.0,0.2356,0.2283,59566214352.90109,20.021,18.718
5,169088,305000000000000.0,0.2356,0.2347,21928049353.50445,20.888,19.59
6,169088,305000000000000.0,0.2356,0.2711,23659196974.857613,21.078,19.61
7,169088,305000000000000.0,0.2356,0.2396,56885293084.38425,20.192,18.833
8,169088,305000000000000.0,0.2356,0.2522,105681750921.36563,20.028,18.798
9,169088,305000000000000.0,0.2356,0.2603,11246049739.669268,21.234,19.956
10,169088,305000000000000.0,0.2356,0.2427,92682982337.93504,19.778,18.407
11,169088,305000000000000.0,0.2356,0.2356,1039920165829.058,17.819,16.417
12,169088,305000000000000.0,0.2356,0.2362,35318316979.1957,20.415,19.118
13,169088,305000000000000.0,0.2356,0.2385,106169555719.87242,19.725,18.331
14,169088,305000000000000.0,0.2356,0.244,13273944577.297375,20.927,19.858
15,169088,305000000000000.0,0.2356,0.238,17378008287.493763,21.04,19.718
16,169088,305000000000000.0,0.2356,0.2219,31332857243.155888,20.572,19.297
17,169088,305000000000000.0,0.2356,0.2278,30338911841.942657,20.619,19.286
18,169088,305000000000000.0,0.2356,0.232,20749135174.549107,20.875,19.581
19,169088,305000000000000.0,0.2356,0.2385,20606299132.700005,20.27,19.418
20,169088,305000000000000.0,0.2356,0.2462,26121613543.992054,19.538,18.798
21,169088,305000000000000.0,0.2356,0.2386,72443596007.49892,20.082,18.712
22,169088,305000000000000.0,0.2356,0.2246,82603794957.71783,19.921,18.594
23,169088,305000000000000.0,0.2356,0.28,135207256319.4278,19.551,18.087
24,169088,305000000000000.0,0.2356,0.2501,17418068733.916126,20.631,19.442
25,169088,305000000000000.0,0.2356,0.256,15667510701.081501,21.215,20.052
26,169088,305000000000000.0,0.2356,0.2782,13645831365.889238,21.885,20.606
27,169088,305000000000000.0,0.2356,0.2413,19453600816.226616,21.232,20.086
28,169088,305000000000000.0,0.2356,0.2321,105681750921.36563,19.725,18.362
29,169088,305000000000000.0,0.2356,0.2159,23659196974.857613,20.538,19.339
30,169088,305000000000000.0,0.2356,0.2501,16218100973.58933,20.863,19.585
31,169088,305000000000000.0,0.2356,0.235,149279440957.89944,19.262,17.943
32,169088,305000000000000.0,0.2356,0.2081,40738027780.41122,20.01,18.869
33,169088,305000000000000.0,0.2356,0.2569,18663796908.346733,20.4,19.496
34,169088,305000000000000.0,0.2356,0.2368,31550046233.746307,21.065,19.955
35,169088,305000000000000.0,0.2356,0.2467,16481623915.255102,20.99,19.71
36,169088,305000000000000.0,0.2356,0.2511,11561122421.921005,21.344,20.033
37,169088,305000000000000.0,0.2356,0.2783,31117163371.0602,19.759,18.949
38,169088,305000000000000.0,0.2356,0.231,44874538993.31314,20.553,19.181
39,169088,305000000000000.0,0.2356,0.2776,31045595881.28362,20.639,19.246
40,169088,305000000000000.0,0.2356,0.2355,22646443075.93062,20.909,19.557
41,169088,305000000000000.0,0.2356,0.2409,20323570109.36221,20.123,19.289
42,169088,305000000000000.0,0.2356,0.2797,20044720273.651592,20.832,19.506
43,169088,305000000000000.0,0.2356,0.2018,12823305826.56023,20.625,19.728
44,446974,336000000000000.0,0.2016,0.2115,48083934844.9729,20.546,19.186
45,446974,336000000000000.0,0.2016,0.2063,31915378551.007584,19.354,18.572
46,446974,336000000000000.0,0.2016,0.2297,29922646366.08195,19.366,18.599
47,446974,336000000000000.0,0.2016,0.1917,14996848355.02374,20.85,19.615
48,446974,336000000000000.0,0.2016,0.1929,15135612484.362072,20.425,19.332
49,446974,336000000000000.0,0.2016,0.1878,21232444620.002193,19.369,18.815
50,446974,336000000000000.0,0.2016,0.1876,13931568029.453035,20.585,19.466
51,446974,336000000000000.0,0.2016,0.1968,43651583224.016655,19.638,18.543
52,446974,336000000000000.0,0.2016,0.1982,23496328208.483097,20.108,18.967
53,446974,336000000000000.0,0.2016,0.222,30760968147.407047,20.106,18.947
54,446974,336000000000000.0,0.2016,0.2044,10914403364.487572,21.006,19.821
55,446974,336000000000000.0,0.2016,0.2393,52722986142.28222,20.337,19.069
56,446974,336000000000000.0,0.2016,0.172,12105981335.50483,20.873,19.723
57,446974,336000000000000.0,0.2016,0.1924,143879857825.58438,18.369,17.321
58,446974,336000000000000.0,0.2016,0.1854,14321878992.735455,20.669,19.516
59,446974,336000000000000.0,0.2016,0.2392,20701413487.910458,19.939,19.051
60,446974,336000000000000.0,0.2016,0.2032,14454397707.45928,20.78,19.592
61,446974,336000000000000.0,0.2016,0.2078,47752927365.76912,19.986,18.731
62,446974,336000000000000.0,0.2016,0.2167,72110747918.29005,19.038,18.121
63,446974,336000000000000.0,0.2016,0.2037,28840315031.266117,20.1,18.915
64,446974,336000000000000.0,0.2016,0.2455,27542287033.381634,20.582,19.496
65,446974,336000000000000.0,0.2016,0.1937,1150800388944.4355,17.088,15.99
66,446974,336000000000000.0,0.2016,0.2086,19678862897.06847,20.664,19.459
67,446974,336000000000000.0,0.2016,0.1982,50815944256.056,18.642,18.006
68,446974,336000000000000.0,0.2016,0.2176,31332857243.155888,20.223,19.043
69,446974,336000000000000.0,0.2016,0.2009,11830415557.251657,20.897,19.742
70,446974,336000000000000.0,0.2016,0.2217,87902251683.08861,19.497,18.239
71,446974,336000000000000.0,0.2016,0.1961,160694125301.28757,19.036,17.742
72,446974,336000000000000.0,0.2016,0.2016,148251808514.59515,18.916,17.657
73,446974,336000000000000.0,0.2016,0.2208,26001595631.652668,20.117,18.912
74,446974,336000000000000.0,0.2016,0.2046,28773984147.356667,20.347,19.126
75,446974,336000000000000.0,0.2016,0.2417,12705741052.085394,20.493,19.48
76,446974,336000000000000.0,0.2016,0.2019,52601726639.07063,19.506,18.353
77,446974,336000000000000.0,0.2016,0.203,66069344800.75964,19.477,18.275
78,446974,336000000000000.0,0.2016,0.2334,10303861204.416159,20.199,19.437
79,446974,336000000000000.0,0.2016,0.1936,30974192992.16578,20.241,19.015
80,446974,336000000000000.0,0.2016,0.2123,15310874616.820318,20.77,19.586
81,446974,336000000000000.0,0.2016,0.2037,26363313858.25376,20.424,19.198
82,446974,336000000000000.0,0.2016,0.188,11350108156.723143,20.777,19.631
83,446974,336000000000000.0,0.2016,0.2077,21183611352.485043,20.625,19.407
84,446974,336000000000000.0,0.2016,0.2094,197242273611.48535,18.854,17.529
85,446974,336000000000000.0,0.2016,0.2103,35563131856.898544,20.03,18.955
86,446974,336000000000000.0,0.2016,0.1879,25234807724.805702,20.162,19.012
87,446974,336000000000000.0,0.2016,0.196,19860949173.573715,20.412,19.242
88,446974,336000000000000.0,0.2016,0.2411,11885022274.370165,20.545,19.553
89,446974,336000000000000.0,0.2016,0.1719,21577444091.526646,19.493,18.794
90,446974,336000000000000.0,0.2016,0.2099,27227013080.779156,19.409,18.702
91,446974,336000000000000.0,0.2016,0.2199,14092887984.21872,19.873,19.138
92,446974,336000000000000.0,0.2016,0.249,176197604641.1631,19.047,17.904
93,446974,336000000000000.0,0.2016,0.1885,13458603540.55947,20.788,19.64
94,446974,336000000000000.0,0.2016,0.2224,22803420720.004208,20.329,19.176
95,446974,336000000000000.0,0.2016,0.1945,10568175092.136564,21.021,19.858
96,620662,341000000000000.0,0.2219,0.2116,60673632958.850464,19.372,18.443
97,620662,341000000000000.0,0.2219,0.2387,17988709151.28791,20.843,19.821
98,620662,341000000000000.0,0.2219,0.2237,113240036323.55577,19.419,18.108
99,620662,341000000000000.0,0.2219,0.2608,22438819237.82771,19.616,18.87
100,620662,341000000000000.0,0.2219,0.2384,18407720014.689583,20.82,19.574
101,620662,341000000000000.0,0.2219,0.2453,26546055619.755363,20.487,19.229
102,620662,341000000000000.0,0.2219,0.2424,26001595631.652668,20.383,19.189
103,620662,341000000000000.0,0.2219,0.2279,26363313858.25376,20.453,19.204
104,620662,341000000000000.0,0.2219,0.248,24774220576.332863,20.689,19.386
105,620662,341000000000000.0,0.2219,0.2449,34119291162.19281,20.599,19.266
106,620662,341000000000000.0,0.2219,0.2458,70794578438.41373,19.64,18.348
107,620662,341000000000000.0,0.2219,0.2467,127057410520.85393,19.449,18.096
108,620662,341000000000000.0,0.2219,0.2203,31915378551.007584,20.131,18.936
109,620662,341000000000000.0,0.2219,0.2381,25176769277.588543,20.408,19.175
110,620662,341000000000000.0,0.2219,0.2203,36728230049.808426,20.174,18.936
111,620662,341000000000000.0,0.2219,0.2577,12882495516.931322,20.991,19.921
112,620662,341000000000000.0,0.2219,0.2395,13614446824.65951,21.022,19.741
113,620662,341000000000000.0,0.2219,0.2219,1049542428652.3242,17.595,16.269
114,620662,341000000000000.0,0.2219,0.2173,41399967481.97313,20.0,18.771
115,620662,341000000000000.0,0.2219,0.2162,21478304741.305374,20.609,19.363
116,620662,341000000000000.0,0.2219,0.2012,11561122421.921005,20.661,19.652
117,620662,341000000000000.0,0.2219,0.2237,104954242865.23242,19.592,18.235
118,620662,341000000000000.0,0.2219,0.2467,12050359403.717962,20.987,19.853
119,620662,341000000000000.0,0.2219,0.2262,39355007545.577805,20.238,18.925
120,620662,341000000000000.0,0.2219,0.2377,35481338923.357605,20.259,18.977
121,620662,341000000000000.0,0.2219,0.2252,28906798823.654778,20.367,19.223
122,620662,341000000000000.0,0.2219,0.2512,10592537251.772898,21.397,20.059
123,620662,341000000000000.0,0.2219,0.2587,11534532578.210907,20.739,19.738
124,620662,341000000000000.0,0.2219,0.2256,61094202490.557144,19.884,18.593
125,620662,341000000000000.0,0.2219,0.1972,29716660317.380314,19.98,19.031
126,620662,341000000000000.0,0.2219,0.242,12647363474.711523,20.874,19.708
127,620662,341000000000000.0,0.2219,0.2182,46881338214.52646,19.977,18.719
128,620662,341000000000000.0,0.2219,0.2585,10023052380.778984,21.377,20.142
129,620662,341000000000000.0,0.2219,0.2493,84333475776.42757,19.497,18.317
130,620662,341000000000000.0,0.2219,0.2213,22490546058.357826,20.673,19.42
131,620662,341000000000000.0,0.2219,0.2248,34593937782.61217,19.897,18.783
132,620662,341000000000000.0,0.2219,0.2201,115345325782.10905,19.09,17.873
133,620662,341000000000000.0,0.2219,0.2563,14421153515.24871,20.925,19.781
134,620662,341000000000000.0,0.2219,0.2477,23604782331.805733,20.076,19.201
135,620662,341000000000000.0,0.2219,0.22,18030177408.5957,20.903,19.651
136,620662,341000000000000.0,0.2219,0.2079,67920363261.71857,19.781,18.568
137,620662,341000000000000.0,0.2219,0.2414,19952623149.688828,20.568,19.353
138,620662,341000000000000.0,0.2219,0.2694,13708817661.64855,20.913,19.836
139,620662,341000000000000.0,0.2219,0.2188,34434993076.333916,20.626,19.328
140,620662,341000000000000.0,0.2219,0.2647,12531411749.41418,20.404,19.45
141,620662,341000000000000.0,0.2219,0.256,30690219883.911583,20.122,19.153
142,620662,341000000000000.0,0.2219,0.265,59841159506.03186,19.377,18.48
143,620662,341000000000000.0,0.2219,0.2137,16519617982.29015,20.099,19.292
144,620662,341000000000000.0,0.2219,0.233,63241185137.62197,19.912,18.611
145,620662,341000000000000.0,0.2219,0.2026,21478304741.305374,21.026,19.91
146,620662,341000000000000.0,0.2219,0.2295,42461956394.6313,20.182,19.158
147,620662,341000000000000.0,0.2219,0.2381,12502590302.177189,21.118,19.85
148,620662,341000000000000.0,0.2219,0.268,18578044550.91699,20.424,19.312
149,620662,341000000000000.0,0.2219,0.1735,19860949173.573715,20.238,19.198
150,620662,341000000000000.0,0.2219,0.2285,47863009232.2638,20.333,18.964
